time,IP,SXR,FIR,PD,DML,P_LHfr_RT,LHD_label,ELM_label,ST_MD_label1,ST_MD_label2
0.012,7289.82828936047,NaN,3.02105541614947e+18,3.5302734375,2.12452471825949e-05,NaN,0,0,0,0
0.0121,7592.8848175637,NaN,3.15278198140642e+18,3.60595715127444,1.43953186245982e-05,NaN,0,0,0,0
0.0122,7903.74531334178,NaN,3.28420222777733e+18,3.65722954128841,1.5853948338252e-06,NaN,0,0,0,0
0.0123,8287.453644927,NaN,3.41077554282229e+18,3.72558771687238,-8.3417036118526e-06,NaN,0,0,0,0
0.0124,8727.08424411689,NaN,3.56202745555121e+18,3.7841796875,-5.62097705218495e-06,NaN,0,0,0,0
0.0125,9138.15679403494,NaN,3.70683301135715e+18,3.88671875,1.16789787636051e-06,NaN,0,0,0,0
0.0126,9596.50513830176,NaN,3.82671580565119e+18,3.95019473420042,4.67052036185063e-06,NaN,0,0,0,0
0.0127,10042.7055632673,NaN,3.96982848839367e+18,4.02099466916046,4.45536165045769e-06,NaN,0,0,0,0
0.0128,10505.2932642059,NaN,4.08132395157619e+18,4.0673828125,5.18417760750197e-07,NaN,0,0,0,0
0.0129,10936.8895940461,NaN,4.18683621975745e+18,4.12841770129832,-3.48613123469748e-06,NaN,0,0,0,0
0.013,11431.8249353863,NaN,4.29952127219744e+18,4.20410139875408,-9.40057496172624e-06,NaN,0,0,0,0
0.0131,11956.1127095538,NaN,4.421032512629e+18,4.26269519241966,-1.53162059973575e-05,NaN,0,0,0,0
0.0132,12526.0095232233,NaN,4.51510247379521e+18,4.32128884427374,-1.25014184064041e-05,NaN,0,0,0,0
0.0133,13084.6579738775,NaN,4.6604274655416e+18,4.33105073033054,-3.2440132663152e-06,NaN,0,0,0,0
0.0134,13652.8576281529,NaN,4.77393415675435e+18,4.35058794518157,4.87495726924828e-06,NaN,0,0,0,0
0.0135,14234.2557579801,NaN,4.87929167163134e+18,4.47753437063547,6.66980976659534e-06,NaN,0,0,0,0
0.0136,14735.5159123845,NaN,4.99244178844016e+18,4.52636856232542,5.36486987068929e-06,NaN,0,0,0,0
0.0137,15211.2045731377,NaN,5.07825113165142e+18,4.58251895658752,1.90040360872016e-06,NaN,0,0,0,0
0.0138,15729.5630183664,NaN,5.16517551597838e+18,4.59472789368017,-2.88398921868411e-06,NaN,0,0,0,0
0.0139,16258.4289118333,NaN,5.27483126539736e+18,4.68749926530494,-5.96751123390861e-06,NaN,0,0,0,0
0.014,16811.2174601544,NaN,5.33358136477525e+18,4.73632672471485,1.13848049386001e-06,NaN,0,0,0,0
0.0141,17356.2331307211,NaN,5.43412409358237e+18,4.7412109375,5.72883759960564e-06,NaN,0,0,0,0
0.0142,17842.733298093,NaN,5.52289445894423e+18,4.78515267108939,5.24918335899671e-06,NaN,0,0,0,0
0.0143,18367.3944968936,NaN,5.51690306665941e+18,4.84619145353236,3.0786279735671e-06,NaN,0,0,0,0
0.0144,18967.4868592819,NaN,5.62446180679176e+18,4.83886915881052,2.72707165185779e-06,NaN,0,0,0,0
0.0145,19568.7158538252,NaN,5.73214450179492e+18,4.86572177384141,-4.36110428558354e-06,NaN,0,0,0,0
0.0146,20177.457736364,NaN,5.82149256296341e+18,4.92186877327747,-1.1681615579677e-05,NaN,0,0,0,0
0.0147,20803.3990919116,NaN,5.90003564923584e+18,4.9462890625,-4.82816521101452e-06,NaN,0,0,0,0
0.0148,21360.4852712269,NaN,5.95859023974056e+18,4.96581974147463,6.05931760016296e-06,NaN,0,0,0,0
0.0149,21896.3334452436,NaN,6.00443154014892e+18,5.01464750232883,1.41481067550491e-05,NaN,0,0,0,0
0.015,22410.5075050283,NaN,6.1311508602695e+18,5.02929614724034,1.98546407033656e-05,NaN,0,0,0,0
0.0151,22930.1869516314,NaN,6.1580054595477e+18,5.0634765625,2.22743711895942e-05,NaN,0,0,0,0
0.0152,23447.1903608202,NaN,6.19222788532577e+18,5.14648547027829,2.24939564328987e-05,NaN,0,0,0,0
0.0153,23887.1243361926,NaN,6.23774108344072e+18,5.15136687092455,1.8510913104582e-05,NaN,0,0,0,0
0.0154,24334.517033756,NaN,6.29247837144635e+18,5.09277348841946,1.36121084169658e-05,NaN,0,0,0,0
0.0155,24827.2261204373,NaN,6.34131312694164e+18,5.0708076553771,1.84300286215686e-05,NaN,0,0,0,0
